ds,yhat,yhat_lower,yhat_upper
2014-01-31,4666.153172543274,75.70235960045488,9106.633170814317
2014-02-28,1629.50969100556,-2877.392276942711,6290.053755122139
2014-03-31,10865.091690699122,6488.446233179818,15621.835969136453
2014-04-30,7776.252770516145,2675.0320332791653,12418.618681297334
2014-05-31,8842.85035201974,4074.613625354998,13266.474286016935
2014-06-30,10299.456802503935,5868.829985424991,14797.374421184515
2014-07-31,10597.502965428794,5977.402558355352,15185.18455457177
2014-08-31,8690.687376709127,3670.036810095224,13576.235533791301
2014-09-30,24532.88928003749,19988.69274646102,28952.174017241323
2014-10-31,12408.563959378851,7684.215909642099,17017.32772492628
2014-11-30,27720.104121850476,23129.594794262535,32647.523948334576
2014-12-31,26587.01156177947,22066.460741382674,30988.288065279197
2015-01-31,7823.377501558272,3258.25080565246,12590.946923911222
2015-02-28,3497.458673144665,-1199.3036921665994,7956.264071522981
2015-03-31,13658.795042918477,8711.722282134113,18246.39620478774
2015-04-30,9371.146001991812,4517.911216344538,14236.544549866907
2015-05-31,8799.930581342594,4364.695519021482,13719.295883127865
2015-06-30,10975.370752564417,6492.798368830434,15660.427983265115
2015-07-31,13647.700126241634,9124.188402259857,18381.915292899812
2015-08-31,10127.76468887326,5637.28928496946,14598.063957906057
2015-09-30,26883.228418077713,22543.937872295093,31390.729298310613
2015-10-31,14617.301025112882,10085.508771606623,19135.727653927184
2015-11-30,28904.391970930872,24162.893207017834,33769.44554952818
2015-12-31,25382.46823789538,20769.471967700585,30548.79991609108
2016-01-31,11036.139147913636,6522.782202410737,15850.68109170884
2016-02-29,4392.379125827427,-296.83163365098403,9481.767753417194
2016-03-31,11707.519535481844,7238.471608439529,16340.510294432717
2016-04-30,10927.644845410621,6253.487843734696,15575.331890861176
2016-05-31,15361.364289259387,10898.599263384946,19996.005285843636
2016-06-30,15567.021246628014,10781.322000636863,20078.01794033087
2016-07-31,11064.051793582177,6146.630811402959,15707.264063597157
2016-08-31,12315.456949890739,7565.100893475307,17008.27895650525
2016-09-30,26300.998735694833,22081.90943929077,31005.15170541331
2016-10-31,14402.939754219366,9891.438961233656,19234.8086696508
2016-11-30,31691.703048034335,26962.141550369088,36313.21775653846
2016-12-31,35551.25249800437,30960.2524563623,40022.62420217111
2017-01-31,8050.792572379145,3528.4715085541857,12576.076357285572
2017-02-28,6251.3553266845665,1617.6167336938483,10661.620443107058
2017-03-31,14538.095274763155,10240.072073030497,18895.67014055004
2017-04-30,12619.177154324283,8066.28324700277,17651.453796985737
2017-05-31,15354.806085410737,10652.771780705389,19805.021857468964
2017-06-30,16154.531825496048,11820.601564002754,20369.339967384618
2017-07-31,14059.992746815562,9592.308803012193,18784.981016022786
2017-08-31,13743.905552547301,9121.119550224801,18503.2971208114
2017-09-30,28662.639070135323,24002.09964418285,33403.10791810686
2017-10-31,16661.068034381322,12139.653346672998,21153.321974677998
2017-11-30,32973.85193909533,28513.06145433976,38018.83633072994
2017-12-31,34302.00396223624,29708.509995952816,38790.73479475384
2018-01-31,11152.355343841606,6768.944302423446,15867.484021017053
2018-02-28,8115.761299066307,3380.4272538056434,12673.481576681439
2018-03-31,17351.398033434525,12859.870680030333,22524.72909813043
2018-04-30,14262.612082318425,9451.856938287707,18572.784499958714
2018-05-31,15329.264397025416,10624.44932253221,20049.923467702305
2018-06-30,16785.923815711485,12278.055956706203,21298.122468762158
2018-07-31,17084.02471243428,12565.597868055549,21772.812053943602
2018-08-31,15177.263857923179,10845.25783550414,19895.675316719928
2018-09-30,31019.518727368733,26292.32935363479,35945.32484264629
2018-10-31,18895.248138388793,14413.804471171154,23710.767854260645
2018-11-30,34206.84126685899,29700.863817482204,38819.17333811518
2018-12-31,33073.80343603362,28381.229534976228,37389.609944277305
2019-01-31,14310.224105071877,9604.137548536737,19075.402526976588
2019-02-28,9984.354709534677,5910.5500771029865,14738.410284857278
2019-03-31,20145.745808667267,15376.65877844481,24694.392563540077
2019-04-30,15858.149731678172,10786.331821136406,20658.045873845578
2019-05-31,15286.989038977597,10556.908719098179,19755.938354832128
2019-06-30,17462.48217382791,12448.953040067401,22115.46707800621
2019-07-31,20134.86627657072,15536.779430414312,25085.497787570832
2019-08-31,16614.985568983222,11874.614164213517,21495.026674058634
2019-09-30,33370.502259303415,28636.193430598745,38001.5553493213
2019-10-31,21104.629592820733,16734.515911700113,25630.344203213077
2019-11-30,35391.760665457376,31019.564052327212,39848.059702745595
2019-12-31,31869.866807350132,27089.296117652393,36339.365734176834
2020-01-31,17523.567592277017,12899.546470988756,22186.15644496323
2020-02-29,10879.834792176584,6306.507494908201,15519.386750389467
2020-03-31,18195.00298190191,13581.54201780582,22472.838554003556
2020-04-30,17415.155175770346,12912.7872944195,22443.463557641007
2020-05-31,21848.876872059038,17170.030680413434,26646.846455933883
2020-06-30,22054.533835799055,17513.84010606881,26964.9554688446
2020-07-31,17551.56438932958,12612.795888645329,21872.050667956824
2020-08-31,18802.969551137692,14110.383363832994,23558.080379459327
2020-09-30,32788.51134323579,28315.830897981316,37305.75326510994
2020-10-31,20890.45236826539,16212.930705068326,25461.675032430034
2020-11-30,38179.21566547194,33336.575163421796,42959.25189462759
2020-12-31,42038.765117406314,37224.46329156449,46806.64007047094
